feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
Aberdeen City,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,23,All,All,All,All,All,All
South Ayrshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,8,All,All,All,All,All,All
Renfrewshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,56,All,Urban,All,All,All,All
Inverclyde,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,21,All,Urban,All,All,All,All
South Lanarkshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Adults,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Scottish Borders,2019,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Renfrewshire,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,16,All,Urban,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Renfrewshire,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,10,All,Urban,All,All,All,All
Stirling,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,Pensioners,All
Stirling,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,5,All,All,All,All,All,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
City of Edinburgh,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,8,All,Urban,All,All,All,All
East Ayrshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
Aberdeen City,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,23,All,All,All,All,All,All
West Dunbartonshire,2016,distance_to_nearest_green_or_blue_space,Don't Know,6,All,Urban,All,All,All,All
Argyll and Bute,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,55,All,Urban,All,All,All,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,12,All,All,All,All,With Children,All
Scotland,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,12,All,Urban,All,All,All,All
Stirling,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
East Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Pensioners,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,0,Male,All,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Glasgow City,2019,distance_to_nearest_green_or_blue_space,Don't Know,4,All,All,All,All,All,All
West Dunbartonshire,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,18,All,Urban,All,All,All,All
South Ayrshire,2019,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
North Lanarkshire,2019,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
Shetland Islands,2019,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Dundee City,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
Highland,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,9,All,Urban,All,All,All,All
North Ayrshire,2019,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Clackmannanshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
Stirling,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
North Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
Inverclyde,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,20,All,All,All,All,With Children,All
North Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Inverclyde,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
East Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Lothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
East Lothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Adults,All
Na h-Eileanan Siar,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Dundee City,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,23,All,Urban,All,All,All,All
Inverclyde,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,19,All,All,All,All,Adults,All
Highland,2013,distance_to_nearest_green_or_blue_space,Don't Know,6,All,All,All,All,All,All
Stirling,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
South Lanarkshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,17,All,All,All,All,All,All
East Ayrshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Adults,All
East Ayrshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,Pensioners,All
Na h-Eileanan Siar,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,11,Male,All,All,All,All,All
East Ayrshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,Female,All,All,All,All,All
West Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,18,All,All,All,All,All,All
Argyll and Bute,2016,distance_to_nearest_green_or_blue_space,Don't Know,6,All,All,All,All,Pensioners,All
Argyll and Bute,2015,distance_to_nearest_green_or_blue_space,Don't Know,5,All,All,All,All,Pensioners,All
East Ayrshire,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Dumfries and Galloway,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
Dumfries and Galloway,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,Pensioners,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
West Dunbartonshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,17,All,All,All,All,All,All
Dumfries and Galloway,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
West Lothian,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,4,All,All,All,All,All,All
West Dunbartonshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,16,All,All,All,All,All,All
Dumfries and Galloway,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Adults,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Adults,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,10,All,All,All,All,Adults,All
City of Edinburgh,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,10,All,All,All,All,All,All
Dumfries and Galloway,2016,distance_to_nearest_green_or_blue_space,Don't Know,4,All,All,All,All,Pensioners,All
North Ayrshire,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,11,All,Urban,All,All,All,All
Dundee City,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,51,All,Urban,All,All,All,All
Angus,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Argyll and Bute,2015,distance_to_nearest_green_or_blue_space,Don't Know,9,All,All,All,All,Adults,All
City of Edinburgh,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
East Lothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Lothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
East Ayrshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Falkirk,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,56,All,Urban,All,All,All,All
Clackmannanshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
East Ayrshire,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,5,All,Urban,All,All,All,All
Dumfries and Galloway,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,18,All,Urban,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,3,Female,All,All,All,All,All
Glasgow City,2013,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,With Children,All
Argyll and Bute,2017,distance_to_nearest_green_or_blue_space,Don't Know,8,All,All,All,All,With Children,All
Argyll and Bute,2017,distance_to_nearest_green_or_blue_space,Don't Know,11,All,All,All,All,Adults,All
Argyll and Bute,2015,distance_to_nearest_green_or_blue_space,Don't Know,4,Female,All,All,All,All,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Argyll and Bute,2017,distance_to_nearest_green_or_blue_space,Don't Know,12,Male,All,All,All,All,All
East Ayrshire,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
South Lanarkshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Dumfries and Galloway,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,Female,All,All,All,All,All
Na h-Eileanan Siar,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,11,All,All,All,All,Pensioners,All
City of Edinburgh,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
Stirling,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
Renfrewshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
Renfrewshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,5,All,All,All,All,Adults,All
Orkney Islands,2014,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,4,All,Rural,All,All,All,All
Falkirk,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
Falkirk,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
Angus,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Rural,All,All,All,All
Orkney Islands,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,9,All,Rural,All,All,All,All
East Ayrshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,6,All,Rural,All,All,All,All
Renfrewshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,21,All,All,All,All,Pensioners,All
Scottish Borders,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,4,All,Rural,All,All,All,All
Highland,2014,distance_to_nearest_green_or_blue_space,Don't Know,6,All,Rural,All,All,All,All
Orkney Islands,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,Rural,All,All,All,All
Fife,2018,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,7,All,Rural,All,All,All,All
City of Edinburgh,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
Scotland,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Rural,All,All,All,All
Falkirk,2013,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,Adults,All
South Lanarkshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Pensioners,All
East Lothian,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,6,All,All,All,All,Adults,All
Glasgow City,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Perth and Kinross,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,9,All,Urban,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Aberdeen City,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,With Children,All
Highland,2013,distance_to_nearest_green_or_blue_space,Don't Know,12,All,Rural,All,All,All,All
City of Edinburgh,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Stirling,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,5,All,All,All,All,All,All
Perth and Kinross,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,Urban,All,All,All,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,13,Male,All,All,All,All,All
Fife,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,3,All,Rural,All,All,All,All
Glasgow City,2013,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,22,All,Urban,All,All,All,All
Aberdeenshire,2018,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,8,All,Rural,All,All,All,All
East Ayrshire,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,14,All,Rural,All,All,All,All
Stirling,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,3,All,Rural,All,All,All,All
Stirling,2018,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,16,All,Rural,All,All,All,All
Argyll and Bute,2016,distance_to_nearest_green_or_blue_space,Don't Know,4,All,All,All,All,All,All
South Ayrshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,7,All,Rural,All,All,All,All
Scotland,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
East Lothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,86,All,Rural,All,All,All,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,Don't Know,3,Male,All,All,All,All,All
Angus,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,Rural,All,All,All,All
Scotland,2018,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,11,All,Rural,All,All,All,All
Scotland,2013,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Rural,All,All,All,All
Perth and Kinross,2019,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,9,All,Rural,All,All,All,All
Shetland Islands,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,4,All,Rural,All,All,All,All
Angus,2019,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,10,All,Rural,All,All,All,All
Inverclyde,2016,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Pensioners,All
Orkney Islands,2015,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,10,All,Rural,All,All,All,All
East Ayrshire,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,11,All,Rural,All,All,All,All
Midlothian,2014,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Renfrewshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
Fife,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,1,All,Rural,All,All,All,All
Fife,2019,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,17,All,Rural,All,All,All,All
Midlothian,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
City of Edinburgh,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,With Children,All
Aberdeenshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Pensioners,All
Aberdeenshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,Female,All,All,All,All,All
East Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Moray,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,1,All,Urban,All,All,All,All
Moray,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,Urban,All,All,All,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,3,All,Urban,All,All,All,All
Glasgow City,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,16,All,Urban,All,All,All,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,20,All,Urban,All,All,All,All
Na h-Eileanan Siar,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,60,All,Urban,All,All,All,All
East Ayrshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
East Lothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,13,All,All,All,All,All,All
Argyll and Bute,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Ayrshire,2014,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,20,All,Urban,All,All,All,All
Perth and Kinross,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,6,All,Urban,All,All,All,All
Perth and Kinross,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,All,Urban,All,All,All,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
North Lanarkshire,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,Don't Know,2,Female,All,All,All,All,All
West Dunbartonshire,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,25,All,Urban,All,All,All,All
Angus,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,Urban,All,All,All,All
Glasgow City,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,24,All,Urban,All,All,All,All
East Lothian,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,6,Male,All,All,All,All,All
Stirling,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Dundee City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,Urban,All,All,All,All
Na h-Eileanan Siar,2017,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,13,All,All,All,All,All,All
Clackmannanshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Aberdeen City,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,Female,All,All,All,All,All
Aberdeen City,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Aberdeen City,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Dunbartonshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,13,Female,All,All,All,All,All
South Lanarkshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,Urban,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Renfrewshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Dumfries and Galloway,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,Urban,All,All,All,All
Aberdeenshire,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,With Children,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Aberdeenshire,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,20,All,Urban,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
Orkney Islands,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,3,All,All,All,All,All,All
Falkirk,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,63,All,Urban,All,All,All,All
Stirling,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,With Children,All
Aberdeen City,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Pensioners,All
East Ayrshire,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
South Lanarkshire,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,19,All,Urban,All,All,All,All
Dumfries and Galloway,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,6,All,Urban,All,All,All,All
East Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,3,All,Urban,All,All,All,All
Falkirk,2019,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,All,Urban,All,All,All,All
Scotland,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,22,All,Urban,All,All,All,All
Na h-Eileanan Siar,2019,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,45,All,Urban,All,All,All,All
Argyll and Bute,2018,distance_to_nearest_green_or_blue_space,Don't Know,7,All,Urban,All,All,All,All
Scotland,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Falkirk,2014,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,27,All,Urban,All,All,All,All
Scottish Borders,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,3,All,Urban,All,All,All,All
North Lanarkshire,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,17,All,Urban,All,All,All,All
Scottish Borders,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Dumfries and Galloway,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,8,All,Urban,All,All,All,All
Renfrewshire,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,18,All,Urban,All,All,All,All
Angus,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Shetland Islands,2013,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,5,All,Urban,All,All,All,All
Renfrewshire,2016,distance_to_nearest_green_or_blue_space,Don't Know,3,All,Urban,All,All,All,All
Falkirk,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Falkirk,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Dumfries and Galloway,2019,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,Urban,All,All,All,All
City of Edinburgh,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Aberdeen City,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,Urban,All,All,All,All
Highland,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,Urban,All,All,All,All
East Dunbartonshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,76,All,Urban,All,All,All,All
West Lothian,2018,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
East Renfrewshire,2019,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,54,All,Urban,All,All,All,All
Inverclyde,2019,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,51,All,Urban,All,All,All,All
Aberdeen City,2018,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
Fife,2014,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Clackmannanshire,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,7,All,Urban,All,All,All,All
Midlothian,2017,distance_to_nearest_green_or_blue_space,Don't Know,0,All,Urban,All,All,All,All
East Ayrshire,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,10,All,Urban,All,All,All,All
Argyll and Bute,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,16,All,Urban,All,All,All,All
Falkirk,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,29,All,Urban,All,All,All,All
West Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,21,All,Urban,All,All,All,All
Na h-Eileanan Siar,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,Urban,All,All,All,All
Fife,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,23,All,Urban,All,All,All,All
Inverclyde,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,All,Urban,All,All,All,All
South Lanarkshire,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,Urban,All,All,All,All
East Dunbartonshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,Urban,All,All,All,All
East Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,7,All,Urban,All,All,All,All
Falkirk,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,29,All,Urban,All,All,All,All
East Lothian,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,83,All,Urban,All,All,All,All
West Dunbartonshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,38,All,Urban,All,All,All,All
City of Edinburgh,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,Urban,All,All,All,All
Moray,2015,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,17,All,Urban,All,All,All,All
Argyll and Bute,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,All,Urban,All,All,All,All
East Lothian,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,7,All,Urban,All,All,All,All
Argyll and Bute,2019,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,26,All,Urban,All,All,All,All
South Lanarkshire,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,21,All,Urban,All,All,All,All
North Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,Urban,All,All,All,All
Aberdeenshire,2019,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,19,All,Urban,All,All,All,All
Perth and Kinross,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,Urban,All,All,All,All
Orkney Islands,2016,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,14,All,Urban,All,All,All,All
Aberdeenshire,2013,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,8,All,Urban,All,All,All,All
Moray,2015,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
Angus,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,68,All,Urban,All,All,All,All
