feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
Dumfries and Galloway,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
Argyll and Bute,2018,distance_to_nearest_green_or_blue_space,Don't Know,5,All,All,All,All,All,All
Dundee City,2018,distance_to_nearest_green_or_blue_space,Don't Know,4,Male,All,All,All,All,All
South Ayrshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
East Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,All,Urban,All,All,All,All
South Lanarkshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Scotland,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
City of Edinburgh,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,Urban,All,All,All,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,19,All,Urban,All,All,All,All
Scotland,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,12,All,Urban,All,All,All,All
West Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,6,Male,All,All,All,All,All
North Ayrshire,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,18,All,Urban,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,16,All,Urban,All,All,All,All
North Ayrshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Stirling,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
North Ayrshire,2016,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,18,All,Urban,All,All,All,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,All,All
Scottish Borders,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,87,All,All,All,All,All,All
Fife,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,Male,All,All,All,All,All
South Lanarkshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,All,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,71,All,All,All,All,Pensioners,All
Orkney Islands,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,53,All,All,All,All,All,All
North Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,All,All
East Lothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,84,All,All,All,All,All,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,83,All,All,All,All,All,All
Aberdeen City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,All,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,All,All,All,All,All,All
Aberdeen City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,60,All,All,All,All,All,All
Midlothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,Female,All,All,All,All,All
Aberdeen City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,53,All,All,All,All,All,All
Angus,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,68,Female,All,All,All,All,All
Shetland Islands,2018,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,All,All
Scotland,2018,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,63,All,Urban,All,All,All,All
